Iteration,Solutions
1,0.9058333039283752
2,0.09733333438634872
3,0.1054999977350235
4,0.09849999845027924
5,0.1054999977350235
6,0.0925000011920929
7,0.8834999799728394
8,0.8891666531562805
9,0.8809999823570251
10,0.9051666855812073
11,0.1003333330154419
12,0.887333333492279
13,0.9003333449363708
14,0.8941666483879089
15,0.8981666564941406
16,0.10083333402872086
17,0.9035000205039978
18,0.8999999761581421
19,0.09416666626930237
20,0.9003333449363708
21,0.8743333220481873
22,0.9036666750907898
23,0.8813333511352539
24,0.8834999799728394
25,0.10316666960716248
26,0.8893333077430725
27,0.890666663646698
28,0.9089999794960022
29,0.8920000195503235
30,0.10083333402872086
31,0.9085000157356262
32,0.9018333554267883
33,0.903333306312561
34,0.9098333120346069
35,0.9083333611488342
36,0.9154999852180481
37,0.909166693687439
38,0.9028333425521851
39,0.9118333458900452
40,0.9056666493415833
41,0.8805000185966492
42,0.8893333077430725
43,0.8841666579246521
44,0.9070000052452087
45,0.8811666369438171
46,0.8974999785423279
47,0.9106666445732117
48,0.8776666522026062
49,0.8996666669845581
50,0.8841666579246521
51,0.9168333411216736
52,0.9104999899864197
53,0.906166672706604
54,0.918833315372467
55,0.9020000100135803
56,0.9153333306312561
57,0.9151666760444641
58,0.9104999899864197
59,0.9071666598320007
60,0.9121666550636292
61,0.9190000295639038
62,0.9054999947547913
63,0.8883333206176758
64,0.8859999775886536
65,0.8985000252723694
66,0.8974999785423279
67,0.8974999785423279
68,0.8921666741371155
69,0.8846666812896729
70,0.9129999876022339
71,0.9168333411216736
72,0.9146666526794434
73,0.9193333387374878
74,0.9178333282470703
75,0.9194999933242798
76,0.9176666736602783
77,0.9118333458900452
78,0.9120000004768372
79,0.9141666889190674
80,0.9151666760444641
81,0.8930000066757202
82,0.9143333435058594
83,0.8866666555404663
84,0.8956666588783264
85,0.9154999852180481
86,0.9013333320617676
87,0.8986666798591614
88,0.8893333077430725
89,0.8893333077430725
90,0.9114999771118164
91,0.9160000085830688
92,0.9116666913032532
93,0.9075000286102295
94,0.9135000109672546
95,0.9075000286102295
96,0.9136666655540466
97,0.9133333563804626
98,0.9126666784286499
99,0.92166668176651
100,0.9046666622161865
