Iteration,Solutions
1,0.2290000021457672
2,0.09759999811649323
3,0.6295999884605408
4,0.746999979019165
5,0.4551999866962433
6,0.6096000075340271
7,0.7821999788284302
8,0.3684000074863434
9,0.23000000417232513
10,0.32899999618530273
11,0.3944000005722046
12,0.4138000011444092
13,0.3765999972820282
14,0.6704000234603882
15,0.5450000166893005
16,0.6958000063896179
17,0.7378000020980835
18,0.2892000079154968
19,0.4844000041484833
20,0.3073999881744385
21,0.7609999775886536
22,0.590399980545044
23,0.42340001463890076
24,0.7161999940872192
25,0.4336000084877014
26,0.670799970626831
27,0.47099998593330383
28,0.5830000042915344
29,0.7332000136375427
30,0.3917999863624573
31,0.5407999753952026
32,0.7071999907493591
33,0.4593999981880188
34,0.550000011920929
35,0.7639999985694885
36,0.5983999967575073
37,0.6895999908447266
38,0.7523999810218811
39,0.7311999797821045
40,0.7447999715805054
41,0.7608000040054321
42,0.6055999994277954
43,0.7616000175476074
44,0.7056000232696533
45,0.626800000667572
46,0.7167999744415283
47,0.7595999836921692
48,0.7649999856948853
49,0.7455999851226807
50,0.7093999981880188
51,0.7590000033378601
52,0.36419999599456787
53,0.7400000095367432
54,0.7427999973297119
55,0.7450000047683716
56,0.7325999736785889
57,0.7383999824523926
58,0.6606000065803528
59,0.7454000115394592
60,0.7692000269889832
61,0.6521999835968018
62,0.732200026512146
63,0.7666000127792358
64,0.7224000096321106
65,0.651199996471405
66,0.7450000047683716
67,0.7738000154495239
68,0.739799976348877
69,0.767799973487854
70,0.7512000203132629
71,0.7387999892234802
72,0.7354000210762024
73,0.6894000172615051
74,0.7450000047683716
75,0.748199999332428
76,0.6651999950408936
77,0.7178000211715698
78,0.7376000285148621
79,0.6492000222206116
80,0.769599974155426
81,0.7594000101089478
82,0.7372000217437744
83,0.6478000283241272
84,0.7027999758720398
85,0.6895999908447266
86,0.7861999869346619
87,0.5311999917030334
88,0.7052000164985657
89,0.7400000095367432
90,0.7342000007629395
91,0.7576000094413757
92,0.4442000091075897
93,0.7513999938964844
94,0.7315999865531921
95,0.728600025177002
96,0.7378000020980835
97,0.7508000135421753
98,0.7343999743461609
99,0.7275999784469604
100,0.7247999906539917
